,experiment_container_id,tld2_name,area,cell_specimen_id,imaging_depth,selectivity_ns,p_sg,p_ns,peak_dff_ns,pref_image_ns,peak_dff_sg,pref_ori_sg,pref_sf_sg,pref_phase_sg
130,511498500,Cux2-CreERT2,VISpm,517395634,275,0.586559322,6.1994187925642755e-56,8.6810858853661e-27,7.2925892255,72,8.5979637483,30,0.02,0.75
131,511498500,Cux2-CreERT2,VISpm,517395639,275,0.6353220339,2.61302042309508e-05,1.5950665225461385e-51,9.9764945813,72,1.4187296814,0,0.02,0.5
132,511498500,Cux2-CreERT2,VISpm,517395644,275,0.2679322034,0.022301548,1.29864905074795e-05,1.7816129017,25,1.047208494,60,0.04,0.25
133,511498500,Cux2-CreERT2,VISpm,517395647,275,0.3056949153,0.0290444419,2.5775593807849102e-08,3.958370877,17,1.4373427887,60,0.04,0.75
134,511498500,Cux2-CreERT2,VISpm,517395650,275,0.1325423729,0.7156509434,1.5571881437960399e-22,1.4764436294,28,1.656925558,120,0.08,0
135,511498500,Cux2-CreERT2,VISpm,517395653,275,0.2307288136,1.2024113265639799e-06,0.0018070736,3.2392978226,64,1.9566619899,30,0.04,0
136,511498500,Cux2-CreERT2,VISpm,517395670,275,0.4852372881,0.0450964375,0.4212218078,5.7654647636,3,1.92852923,30,0.02,0.5
137,511498500,Cux2-CreERT2,VISpm,517395673,275,,,,,,,,,
138,511498500,Cux2-CreERT2,VISpm,517395678,275,0.6417118644,0.1162862925,3.02591892734091e-13,10.0156226073,42,2.521831886,30,0.02,0.75
139,511498500,Cux2-CreERT2,VISpm,517395683,275,0.6225762712,2.36035807619665e-47,1.92787362758052e-29,6.472667224,19,8.4625348188,60,0.02,0.25
140,511498500,Cux2-CreERT2,VISpm,517395688,275,0.3431186441,0.0001739107,1.9243043444410303e-15,2.5075234076,19,2.0778243454,0,0.02,0.75
141,511498500,Cux2-CreERT2,VISpm,517395695,275,,,,,,,,,
142,511498500,Cux2-CreERT2,VISpm,517395700,275,0.2696779661,0.500081605,0.0094824466,3.1667137119,96,2.15672753,0,0.02,0.5
143,511498500,Cux2-CreERT2,VISpm,517395705,275,0.2640508475,5.980067573539269e-41,6.318371926291078e-07,5.7507418677,12,15.7925333803,0,0.08,0.25
144,511498500,Cux2-CreERT2,VISpm,517395712,275,,,,,,,,,
145,511498500,Cux2-CreERT2,VISpm,517395719,275,0.2876949153,0.002608076,6.98472271956854e-07,2.0057777373,57,2.2307114824,90,0.02,0.5
146,511498500,Cux2-CreERT2,VISpm,517395724,275,0.3234915254,0.0952837136,0.110010094,2.1091807155,56,5.6362184881,0,0.04,0
147,511498500,Cux2-CreERT2,VISpm,517395731,275,0.6876440678,2.2843392803669197e-23,4.89627002856619e-26,12.1056855032,72,4.083082275,0,0.02,0.75
148,511498500,Cux2-CreERT2,VISpm,517395737,275,,,,,,,,,
149,511498500,Cux2-CreERT2,VISpm,517395740,275,-0.0661694915,0.0583781357,1.05516289977561e-11,1.1544034599,28,1.9358052408,30,0.02,0.75
150,511498500,Cux2-CreERT2,VISpm,517395748,275,,,,,,,,,
151,511498500,Cux2-CreERT2,VISpm,517395752,275,,,,,,,,,
152,511498500,Cux2-CreERT2,VISpm,517395755,275,0.147220339,0.3394580913,0.0023323227,1.73915252,78,1.0189275563,30,0.02,0.75
153,511498500,Cux2-CreERT2,VISpm,517395762,275,,,,,,,,,
154,511498500,Cux2-CreERT2,VISpm,517395766,275,,,,,,,,,
155,511498500,Cux2-CreERT2,VISpm,517395770,275,,,,,,,,,
156,511498500,Cux2-CreERT2,VISpm,517395773,275,0.0318135593,0.6820220188,0.0715489857,4.6901125814,30,3.8729056384,60,0.04,0.5
157,511498500,Cux2-CreERT2,VISpm,517395778,275,0.1343050847,0.0022339609,0.0190517374,1.7923753792,78,2.772336226,30,0.04,0.75
158,511498500,Cux2-CreERT2,VISpm,517395783,275,0.0043559322,0.5455573883,2.36017031371342e-14,1.2758490047,102,1.3817650175,30,0.32,0.75
159,511498500,Cux2-CreERT2,VISpm,517395788,275,0.4361694915,0.0896712422,0.1035017386,2.7476269338,51,2.3266855455,0,0.04,0
160,511498500,Cux2-CreERT2,VISpm,517395793,275,,,,,,,,,
161,511498500,Cux2-CreERT2,VISpm,517395798,275,0.2081186441,0.0014331157,1.03399719780529e-06,1.9514795606,102,1.1913905132,120,0.02,0.5
162,511498500,Cux2-CreERT2,VISpm,517395803,275,0.7632372881,0.0008383607,7.103327132510015e-58,25.2675934793,117,2.8081933777,150,0.02,0
163,511498500,Cux2-CreERT2,VISpm,517395808,275,0.0502372881,0.5104746567,0.0036230807,1.6183717084,84,2.2360608063,120,0.02,0.75
164,511498500,Cux2-CreERT2,VISpm,517395813,275,0.5359152542,0.0053857989,0.2098953006,4.7386408655,15,2.8908867707,90,0.08,0
165,511498500,Cux2-CreERT2,VISpm,517395818,275,,,,,,,,,
166,511498500,Cux2-CreERT2,VISpm,517395848,275,0.1401016949,0.063512673,0.0155513659,3.0168722137,53,2.6249333136,150,0.02,0.25
167,511498500,Cux2-CreERT2,VISpm,517395851,275,0.1736271186,0.1993262303,0.1656804173,2.5221368072,9,0.8375425575,120,0.16,0.5
168,511498500,Cux2-CreERT2,VISpm,517395854,275,0.0877966102,1.1690991636905e-20,4.19622689020026e-06,1.0663548948,75,1.9977566191,60,0.04,0.5
169,511498500,Cux2-CreERT2,VISpm,517395859,275,0.365440678,0.0019749497,3.32658804597854e-07,3.6586042994,53,2.9716541057,60,0.02,0
170,511498500,Cux2-CreERT2,VISpm,517395864,275,0.0235084746,0.0025634818,0.0002303283,1.8711100814,114,1.281144691,0,0.02,0.5
171,511498500,Cux2-CreERT2,VISpm,517395873,275,,,,,,,,,
172,511498500,Cux2-CreERT2,VISpm,517395878,275,0.2591016949,1.80277301522799e-06,0.0042639795,3.7126676923,78,5.4484782019,60,0.04,0
173,511498500,Cux2-CreERT2,VISpm,517395883,275,0.0522372881,0.0004273672,1.5246083565087599e-12,1.2322902746,7,1.8521151845,150,0.02,0
174,511498500,Cux2-CreERT2,VISpm,517395888,275,0.3687457627,7.47152126868331e-17,6.5737653628268e-05,13.5762277801,29,15.3541852933,150,0.02,0
175,511498500,Cux2-CreERT2,VISpm,517395893,275,0.0448813559,0.3354685641,6.5228932822721e-09,1.2476119643,42,1.5468513496,150,0.02,0.75
176,511498500,Cux2-CreERT2,VISpm,517395898,275,0.3185254237,0.0004553445,0.0957190016,3.6240436347,1,5.7064236002,90,0.08,0.25
177,511498500,Cux2-CreERT2,VISpm,517395903,275,0.5043050847,1.3132396663960099e-07,5.11177641979521e-10,7.3879996711,102,2.8990454838,30,0.32,0.5
178,511498500,Cux2-CreERT2,VISpm,517395908,275,-0.0081355932,0.0066930447,5.49936178139693e-09,1.3211658289,7,1.8140457717,0,0.32,0.75
179,511498500,Cux2-CreERT2,VISpm,517395913,275,,,,,,,,,
180,511498500,Cux2-CreERT2,VISpm,517395918,275,,,,,,,,,
181,511498500,Cux2-CreERT2,VISpm,517395923,275,0.0969152542,0.0013676694,6.13728464144037e-06,2.36954946,105,2.4665821152,120,0.02,0
182,511498500,Cux2-CreERT2,VISpm,517395928,275,0.3335423729,0.4272490784,0.6263451997,4.4755477259,55,5.2103405556,90,0.16,0.75
183,511498500,Cux2-CreERT2,VISpm,517395935,275,0.3961016949,0.0154181068,0.01230411,7.2646146575,117,8.8528494373,120,0.08,0.75
184,511498500,Cux2-CreERT2,VISpm,517395940,275,0.5395254237,3.3035058096543795e-05,0.0579469853,4.0061509339,99,4.2304643071,60,0.04,0
185,511498500,Cux2-CreERT2,VISpm,517395945,275,0.3108983051,0.5640433761,3.90601546757125e-08,2.7875883749,101,2.149586614,150,0.02,0
186,511498500,Cux2-CreERT2,VISpm,517395950,275,0.1879152542,0.1468769617,0.0013014745,1.569477367,92,2.917668271,60,0.02,0.25
187,511498500,Cux2-CreERT2,VISpm,517395958,275,,,,,,,,,
188,511498500,Cux2-CreERT2,VISpm,517395978,275,0.6306949153,1.17224861006052e-12,2.1285238180242804e-14,20.2701311626,43,18.6153280576,90,0.04,0
189,511498500,Cux2-CreERT2,VISpm,517395991,275,,,,,,,,,
190,511498500,Cux2-CreERT2,VISpm,517395997,275,,,,,,,,,
191,511498500,Cux2-CreERT2,VISpm,517396000,275,,,,,,,,,
192,511498500,Cux2-CreERT2,VISpm,517396009,275,,,,,,,,,
193,511498500,Cux2-CreERT2,VISpm,517396015,275,,,,,,,,,
194,511498500,Cux2-CreERT2,VISpm,517396018,275,0.4852711864,0.9132294326,0.312083076,6.1618955693,1,3.7920699283,90,0.32,0.25
195,511498500,Cux2-CreERT2,VISpm,517396023,275,0.224220339,5.33375745508269e-06,0.0028912353,3.6464783427,2,4.2471123847,60,0.02,0.5
196,511498500,Cux2-CreERT2,VISpm,517396028,275,0.2306949153,0.0493497076,1.9693493446183e-06,3.1607510672,30,2.3135084113,150,0.32,0.5
197,511498500,Cux2-CreERT2,VISpm,517396033,275,0.3720677966,0.0060420448,0.0226318764,3.7912145028,14,3.7762561098,90,0.04,0.75
198,511498500,Cux2-CreERT2,VISpm,517396043,275,0.1726271186,0.3439064575,0.0001848135,2.2574471611,65,1.7648630191,90,0.02,0.5
199,511498500,Cux2-CreERT2,VISpm,517396048,275,0.1277288136,5.6740297166408896e-08,0.0028095765,2.8395061657,48,1.1676105925,30,0.02,0.5
200,511498500,Cux2-CreERT2,VISpm,517396053,275,0.3957457627,0.3370979213,0.1006452981,4.2055406445,92,3.2622819398,150,0.04,0.25
201,511498500,Cux2-CreERT2,VISpm,517396058,275,0.263220339,2.63180797975445e-07,0.0611322417,5.0187776085,102,4.2241024225,60,0.02,0.25
202,511498500,Cux2-CreERT2,VISpm,517396063,275,0.5570508475,5.545362985341072e-11,0.0512254732,7.9373900022,81,9.395993091,90,0.02,0.5
203,511498500,Cux2-CreERT2,VISpm,517396068,275,0.5507288136,1.42111618022108e-37,0.0007694703,24.9313988438,86,65.5019446087,30,0.04,0.5
204,511498500,Cux2-CreERT2,VISpm,517396072,275,0.0614915254,7.145523282184891e-07,0.0236054705,1.5477961439,0,1.4381231228,60,0.02,0
205,511498500,Cux2-CreERT2,VISpm,517396078,275,,,,,,,,,
206,511498500,Cux2-CreERT2,VISpm,517396081,275,,,,,,,,,
207,511498500,Cux2-CreERT2,VISpm,517396087,275,,,,,,,,,
208,511498500,Cux2-CreERT2,VISpm,517396093,275,,,,,,,,,
209,511498500,Cux2-CreERT2,VISpm,517396102,275,0.5106779661,0.0279721054,0.0713168691,3.9281554534,27,1.0190486212,0,0.04,0.5
210,511498500,Cux2-CreERT2,VISpm,517396105,275,-0.1716610169,0.0720955526,0.0064107071,2.7369772607,23,2.4339413103,120,0.16,0.5
211,511498500,Cux2-CreERT2,VISpm,517396111,275,0.1294067797,8.7580533961257e-16,0.0034517535,2.2843029499,60,1.9640460064,90,0.02,0.5
212,511498500,Cux2-CreERT2,VISpm,517396114,275,0.2656271186,0.2807330918,0.0573152935,2.1097230646,11,1.2194075629,150,0.02,0.75
